frame,energy_per_atom,REF_energy_per_atom,volume,lattice
196,,-697.530901681,483.782223046,9.184919 -0.906855 0 -1.056607 9.168899 0 -4.064156 -4.131022 5.810681
197,,-697.572765961,212.627592017,4.393226 0 0 -2.196613 3.804645 0 0 0 12.72102
198,,-697.511368672,193.366202661,4.008312 0 0 -2.004156 3.4713 0 0 0 13.897187
199,,-697.542835632,186.104088447,3.549897 0 -0.278253 0 5.852913 0 -1.81036 0 9.099016
200,,-697.565093661,574.605352409,6.001543 0 0 -3.000771 5.197488 0 0 0 18.421002
201,,-696.324738605,183.14613481,6.03418 -0.069041 -0.10193 -1.699355 5.790362 -0.10193 -1.699355 -2.242895 5.339298
202,,-697.472398791,341.654671951,7.000055 0.532281 0.550393 0.305445 7.013615 0.550393 0.305445 0.315496 7.0281
203,,-697.524075654,470.913029897,7.707072 0.172204 1e-06 -1.847705 7.48429 1e-06 -2.929684 -3.828248 8.119169
204,,-697.57269275,390.676720112,6.264464 -0.354584 0 -0.632477 5.818237 0 0 0 10.785063
205,,-697.577059466,253.051431918,5.518352 0 0 2.759176 7.039568 1.330617 2.759176 1.973347 6.887086
206,,-697.3218879,264.069847321,5.632193 0 0 -2.816097 4.877622 0 0 0 9.612429
207,,-697.466400359,341.869388026,7.001483 0.531934 0.550034 0.305052 7.015031 0.550034 0.305052 0.31509 7.029503
208,,-697.616495409,449.505273545,5.871113 0 0 0 9.402468 0 0 -4.701234 8.142776
209,,-697.610274279,268.963244131,6.630531 0 0 0 5.642167 0 0 0 7.1895
210,,-697.578858955,253.627204591,5.448192 0 0 2.724096 7.080476 1.297191 2.724096 1.94383 6.930899
211,,-697.506663289,245.322010969,6.839639 0 -2e-06 0 6.93137 0 -3.419818 -3.465685 5.17469
212,,-696.87960735,392.791796172,7.74483 0 0 0 7.121562 0 0 0 7.121562
213,,-697.437641296,314.569287978,7.78858 0.692218 0.518722 3.677976 6.900264 0.518722 3.677976 2.43534 6.477023
214,,-697.559320236,203.030439757,4.346917 -0.163105 0.135091 -1.168472 7.38523 -0.282676 -1.780285 -3.398856 6.423092
215,,-697.567421315,256.892343964,6.963397 -0.276983 -0.408928 -2.150991 6.628639 -0.408928 -2.150991 -2.838987 6.003851
216,,-697.555051908,198.556327807,4.287444 0 0 -2.143722 3.713035 0 0 0 12.472578
217,,-697.604177616,202.35244554,5.573653 -2e-06 0 2.786828 3.782457 0.160164 2.786827 1.070918 9.643649
218,,-696.973604123,199.532536235,5.938764 0 0 0 6.228644 0 0 -3.114322 5.394164
219,,-697.530544451,182.290264283,3.6922 0 0.059283 0 8.879681 0 -0.201174 0 5.556848
220,,-697.477796467,354.702934947,5.846294 -0.017723 0 -0.083304 5.565691 0 0 0 10.901462
221,,-697.631826866,267.207441419,6.41574 0.374077 0.436936 -0.485875 6.408243 0.436936 -0.485875 -0.555722 6.399036
222,,-697.574239255,259.586804998,7.432617 0 0 0 5.628056 2e-06 0 -2.81403 6.20558
223,,-697.59315753,200.093256771,5.386373 -2e-06 0 2.693188 3.771649 0.217768 2.693187 1.223599 9.919932
224,,-697.526955523,220.924933216,6.472631 0 0 -3.236315 5.605463 0 0 0 6.08909
225,,-697.591508531,199.978792894,5.357087 -2e-06 0 2.678545 3.787753 0.232206 2.678544 1.259544 9.932598
226,,-697.541485606,473.940579381,7.728264 -1.01503 -0.780772 1.713891 7.603876 -0.780772 1.713891 1.195973 7.549714
227,,-697.426081712,298.558294154,6.680645 0.281819 0.291409 0.065452 6.686266 0.291409 0.065452 0.067606 6.692272
228,,-697.545517081,367.129913723,5.82642 0 0 2.91321 7.933175 -0.487345 2.91321 -0.080854 7.947718
229,,-697.622607431,271.882396808,7.845285 -0.137179 -1.271305 3.021069 5.649819 -1.203791 -1.487986 1.905104 6.082871
230,,-697.561451563,372.185161917,5.761907 -0.44697 0 -2.221875 5.424917 0 0 0 12.297643
231,,-697.556509724,374.218231023,5.703433 0 0 2.851716 8.102252 -0.068753 2.851716 0.345841 8.09516
232,,-697.524681026,203.28574657,3.406609 0 0 0 5.934095 0 0 0 10.056113
233,,-697.193193165,294.91600536,4.524489 0 -0.186119 2.262245 5.542323 -0.09306 0.429429 0 11.743138
234,,-697.534987101,307.578709362,5.787366 0 0 -2.893683 5.012006 0 0 0 10.603854
235,,-697.617546557,450.372630439,5.806151 0 0 0 9.464039 0 0 -4.73202 8.196098
236,,-697.396513376,233.475542587,5.518583 0 0 0 6.504395 0 0 0 6.504395
237,,-697.571375139,205.285298667,6.688447 0 0 0 6.688447 0 -3.344224 -3.344224 4.588886
238,,-697.586328437,261.278347378,4.993375 0 0 2.496687 7.387835 0.897368 2.496687 1.574016 7.273778
239,,-697.637853058,273.135878362,7.866028 -0.291974 -1.387917 2.82888 5.717636 -1.360746 -1.747182 1.844848 6.008415
240,,-697.554782087,257.986850981,7.174985 0 -2e-06 0 6.750329 0 -3.587491 -3.375165 5.32662
241,,-697.630315654,447.693643901,6.747397 0 0 0 6.683693 0 -3.373699 0 9.927232
242,,-697.574365013,281.858446398,4.255971 0.015362 0 -0.014496 4.356906 0 0 0 15.200189
243,,-697.561679046,421.46429725,6.495772 0 0 0 8.65565 0 0 -4.327825 7.496013
244,,-697.585900026,420.230441518,4.527047 0 0 -2.263523 3.920537 0 0 0 23.677015
245,,-697.620945511,306.722008916,5.939641 0 0 -2.96982 5.14388 0 0 0 10.03908
246,,-697.53197358,254.874129774,6.682536 0.249992 0 -2.954214 5.860307 0 0 0 6.387784
247,,-697.61397395,321.758011457,7.86909 -0.519711 -0.770064 -4.046898 6.7687 0.770063 -4.046897 -1.818131 6.565264
248,,-697.578367779,257.504135745,5.147769 0 0 0 6.440455 0 0 0 7.766916
249,,-697.409244355,284.992676853,5.600337 0 0 -2.800168 4.850034 0 0 0 10.492398
250,,-697.476942493,247.366743763,3.75371 0.273362 -0.259411 1.138079 7.484263 -0.084927 0.613987 0.023758 8.861229
251,,-697.438471603,201.244436457,4.526086 0 0 -2.263043 5.653591 0 0 0 7.864601
252,,-697.55901995,203.028581477,4.344292 -0.163405 0.134284 -1.168724 7.391935 -0.282705 -1.779537 -3.401482 6.421581
253,,-697.56210784,572.711278154,5.997977 0 0 -2.998988 5.1944 0 0 0 18.382118
254,,-697.515766237,302.761227832,5.745804 0 0 -2.872902 4.976012 0 0 0 10.589319
255,,-697.583581281,378.889163426,5.827238 -0.552999 0 -2.354831 5.404301 0 0 0 12.550184
256,,-697.555513992,187.183562455,3.401216 0 -0.448578 0 5.617216 0 -2.077296 0 10.071404
257,,-697.534591117,223.676769314,6.45904 0 0 -3.22952 5.593693 0 0 0 6.190907
258,,-697.636892533,274.356355265,7.908757 -0.203889 -1.348247 2.973329 5.675822 -1.337166 -1.619695 1.825559 6.049134
259,,-697.623656715,266.756745755,6.423387 0.310666 0.362871 -0.549738 6.407355 0.362871 -0.549738 -0.628766 6.386746
260,,-697.329270208,218.707484892,6.076738 0 0 0 6.446608 0 0 -3.223304 5.582926
261,,-697.329115262,364.59061074,5.905044 0 0 -2.952522 5.113918 0 0 0 12.073372
262,,-697.582771185,258.769000304,5.144699 0 0 2.572349 7.270826 1.002068 2.572349 1.667494 7.147623
263,,-697.581685009,347.382998316,3.246913 0 0 0 11.114851 0 0 -5.557425 9.625743
